category,type
ailment,allergy_ailment
ailment,cold_flu_ailment
ailment,fever_ailment
ailment,injury_ailment
appointment,date_appointment
appointment,doctor_appointment
appointment,ob_gyn_appointment
appointment,vacation_appointment
bbt,\N
collection_method,menstrual_cup_collection_method
collection_method,pad_collection_method
collection_method,panty_liner_collection_method
collection_method,tampon_collection_method
craving,carbs_craving
craving,chocolate_craving
craving,salty_craving
craving,sweet_craving
digestion,bloated
digestion,gassy
digestion,great_digestion
digestion,nauseated
emotion,happy
emotion,pms
emotion,sad
emotion,sensitive_emotion
energy,energized
energy,exhausted
energy,high_energy
energy,low_energy
exercise,biking
exercise,running
exercise,swimming
exercise,yoga
fluid,atypical
fluid,creamy
fluid,egg_white
fluid,sticky
hair,bad_hair
hair,dry_hair
hair,good_hair
hair,oily_hair
medication,antibiotic_medication
medication,antihistamine_medication
medication,cold_flu_medication
medication,pain_medication
mental,calm
mental,distracted
mental,focused
mental,stressed
motivation,motivated
motivation,productive
motivation,unmotivated
motivation,unproductive
pain,cramps
pain,headache
pain,ovulation_pain
pain,tender_breasts
party,big_night_party
party,cigarettes
party,drinks_party
party,hangover
period,heavy
period,light
period,medium
period,spotting
poop,constipated
poop,diarrhea
poop,great_poop
poop,normal_poop
sex,high_sex_drive
sex,protected_sex
sex,unprotected_sex
sex,withdrawal_sex
skin,acne_skin
skin,dry_skin
skin,good_skin
skin,oily_skin
sleep,
sleep,>9
sleep,0-3
sleep,3-6
sleep,6-9
social,conflict_social
social,sociable
social,supportive_social
social,withdrawn_social
test,ovulation_test_neg
test,ovulation_test_pos
weight,\N
